"","CNO-Pohler-2002-01-18.png","CNO-Pohler-2002-01-20.png","CNO-Pohler-2002-01-23.png","CNO-Pohler-2002-01-27.png","LSEM-Haley-HFE1.png","LSEM-Haley-HFE2.png","LSEM-Haley-HFE3.png","LSEM-Haley-HFE4.png","LSEM-Haley-HFE5.png","NSU-AllenPlantation-142.png","NSU-Belcher-404.png","NSU-Gahagan-955.png","NSU-Gahagan-956.png","NSU-SmithportLanding-152.png","NSU-SmithportLanding-157.png","NSU-SmithportLanding-95.png","NSU-SmithportLanding-96.png","TARL-41BW3-6-1-7-FS7.png","TARL-41BW4-341-427.png","TARL-41BW4-341-464.png","TARL-41BW4-6-2-132.png","TARL-41BW4-6-2-67.png","TARL-41BW4-6-2-78.png","TARL-41CE19-2015-1.png","TARL-41RR3-2.png","UArk-Burrows-55-19-2.png","UArk-Crenshaw-55-1-10.png","UArk-Crenshaw-55-1-4.png","UArk-Crenshaw-55-1-43.png","UArk_BattleMound-55-15-9.png"
"CNO-Pohler-2002-01-18.png",0,22.3598690032959,5.51373052597046,13.9386072158813,7.72712230682373,9.09843730926514,11.2718706130981,3.26851844787598,12.5724849700928,9.24038314819336,23.1916046142578,25.8543853759766,43.6987991333008,21.9193592071533,12.6172618865967,11.1416969299316,17.5183944702148,20.3399181365967,23.0770854949951,10.609546661377,4.88009119033813,34.7085342407227,13.348048210144,7.31612539291382,25.990686416626,20.8446941375732,10.1991052627563,5.11007881164551,9.52903747558594,4.10012197494507
"CNO-Pohler-2002-01-20.png",22.3598690032959,0,17.5135288238525,9.48293304443359,24.457971572876,31.297945022583,33.1257781982422,20.5033760070801,34.8188934326172,15.9046258926392,5.6415491104126,4.9783616065979,22.3073692321777,5.50866365432739,10.9000616073608,15.2080173492432,7.948570728302,4.21836423873901,6.98738718032837,13.8662014007568,22.7371845245361,14.0092344284058,17.2150821685791,16.8415088653564,7.81368827819824,6.73589944839478,12.9160404205322,18.5935039520264,13.70436668396,19.18430519104
"CNO-Pohler-2002-01-23.png",5.51373052597046,17.5135288238525,0,10.4101295471191,9.71807861328125,14.4593658447266,16.5570068359375,4.53706121444702,17.9411468505859,9.77461433410645,17.8644180297852,20.5476169586182,38.4981117248535,16.7945251464844,8.13365745544434,10.8206949234009,13.9412689208984,15.8539657592773,17.9966888427734,8.0570707321167,7.48201847076416,29.8910160064697,12.2905502319336,2.07480788230896,21.7481594085693,15.5851516723633,6.01465559005737,2.55947327613831,5.1063814163208,2.90599250793457
"CNO-Pohler-2002-01-27.png",13.9386072158813,9.48293304443359,10.4101295471191,0,15.728627204895,22.5308017730713,24.2116107940674,11.9834232330322,26.0297241210938,8.35675430297852,11.4614887237549,13.8354864120483,30.9520015716553,9.53232765197754,4.65229177474976,9.69355201721191,7.04022789001465,7.61527442932129,11.7824382781982,5.15320014953613,13.7902851104736,21.3511009216309,9.55745410919189,10.608983039856,12.5660581588745,10.2018404006958,6.00107717514038,11.3536376953125,6.73107051849365,11.4321994781494
"LSEM-Haley-HFE1.png",7.72712230682373,24.457971572876,9.71807861328125,15.728627204895,0,7.23011445999146,8.95261287689209,6.95520830154419,10.7368659973145,10.3438539505005,25.3710327148438,28.0490798950195,45.4233245849609,23.981409072876,14.3816509246826,12.008581161499,19.1399059295654,21.9536380767822,25.0034847259521,11.7360372543335,5.54609632492065,36.2779426574707,12.6729497909546,11.4464797973633,27.183126449585,23.2713088989258,12.4054231643677,7.95765590667725,11.4025440216064,7.29520273208618
"LSEM-Haley-HFE2.png",9.09843730926514,31.297945022583,14.4593658447266,22.5308017730713,7.23011445999146,0,2.62568855285645,10.9446105957031,3.54954409599304,17.150426864624,32.0851821899414,34.7695083618164,52.4109802246094,30.8554553985596,21.431432723999,18.8338947296143,26.1259269714355,29.0275821685791,31.780330657959,18.6990203857422,9.31563472747803,43.4286804199219,19.7285461425781,16.1384716033936,34.3464164733887,29.7117748260498,18.9344158172607,13.5941944122314,18.2589225769043,12.509744644165
"LSEM-Haley-HFE3.png",11.2718706130981,33.1257781982422,16.5570068359375,24.2116107940674,8.95261287689209,2.62568855285645,0,12.8064041137695,2.48480749130249,18.9334754943848,33.9552612304688,36.6381149291992,54.1355209350586,32.6656188964844,23.223108291626,20.6506977081299,27.74733543396,30.7508563995361,33.6277313232422,20.318380355835,10.75599193573,45.0349807739258,20.9664821624756,18.3052349090576,35.8009033203125,31.7192840576172,20.8539409637451,15.70920753479,20.1530361175537,14.5251884460449
"LSEM-Haley-HFE4.png",3.26851844787598,20.5033760070801,4.53706121444702,11.9834232330322,6.95520830154419,10.9446105957031,12.8064041137695,0,14.4784336090088,8.92013072967529,21.3100509643555,24.0500030517578,41.7222366333008,20.1147308349609,10.6485557556152,10.3164892196655,15.6236095428467,18.1624126434326,20.9548721313477,8.16998291015625,3.12258672714233,32.5761184692383,10.8186378479004,6.55761528015137,23.6952285766602,19.0580501556396,8.09518814086914,4.10805511474609,7.51633501052856,2.45109987258911
"LSEM-Haley-HFE5.png",12.5724849700928,34.8188934326172,17.9411468505859,26.0297241210938,10.7368659973145,3.54954409599304,2.48480749130249,14.4784336090088,0,20.6351947784424,35.6132965087891,38.2792205810547,55.8969802856445,34.3705406188965,24.9564895629883,22.3336486816406,29.6018772125244,32.5595169067383,35.3054847717285,22.2119083404541,12.7473735809326,46.9421882629395,23.1043930053711,19.5667362213135,37.8289108276367,33.2192153930664,22.466947555542,17.076057434082,21.7905044555664,16.0339641571045
"NSU-AllenPlantation-142.png",9.24038314819336,15.9046258926392,9.77461433410645,8.35675430297852,10.3438539505005,17.150426864624,18.9334754943848,8.92013072967529,20.6351947784424,0,17.2888889312744,19.6691036224365,36.0082778930664,15.0371122360229,7.22326898574829,3.09005999565125,9.66753768920898,14.2764091491699,17.1318473815918,6.27858877182007,9.92789745330811,26.6383514404297,6.19842290878296,11.008770942688,18.0294704437256,16.046049118042,8.1122932434082,8.9886302947998,8.47324371337891,8.59221076965332
